OldState	Action		NewState
5510.81		0.46		5707.21
5510.81		0.45		5700.9799
5510.81		0.44		5694.74
5510.81		0.43		5688.5
5510.81		0.42		5682.27
5510.81		0.41		5676.04
5510.81		0.4		5669.8
5510.81		0.39		5663.57
5510.81		0.38		5657.33
5510.81		0.37		5651.1
5510.81		0.36		5644.87
5510.81		0.35		5638.64
5510.81		0.34		5632.41
5510.81		0.33		5626.18
5510.81		0.32		5619.95
5510.81		0.31		5613.72
5510.81		0.3		5607.49
5510.81		0.29		5601.26
5510.81		0.28		5595.03
5510.81		0.27		5588.8
5510.81		0.26		5582.58
5510.81		0.25		5576.35
5510.81		0.24		5570.13
5510.81		0.23		5563.9
5510.81		0.22		5557.67
5510.81		0.21		5551.45
5510.81		0.2		5545.2299
5510.81		0.19		5539.0
5510.81		0.18		5532.78
5510.81		0.17		5526.56
5510.81		0.16		5520.34
5510.81		0.15		5514.12
5510.81		0.14		5507.89
5510.81		0.13		5501.67
5510.81		0.12		5495.45
5510.81		0.11		5489.2299
5510.81		0.1		5483.02
5510.81		0.09		5476.8
5510.81		0.08		5470.58
5510.81		0.07		5464.36
5510.81		0.06		5458.15
5510.81		0.05		5451.93
5510.81		0.04		5445.71
5510.81		0.03		5439.5
5510.81		0.02		5433.29
5510.81		0.01		5427.07
5510.81		0.0		5420.86
6044.75		1.0		6573.21
6044.75		0.99		6567.03
6044.75		0.98		6560.84
6044.75		0.97		6554.66
6044.75		0.96		6548.47
6044.75		0.95		6542.29
6044.75		0.94		6536.1
6044.75		0.93		6529.91
6044.75		0.92		6523.72
6044.75		0.91		6517.52
6044.75		0.9		6511.31
6044.75		0.89		6505.11
6044.75		0.88		6498.9
6044.75		0.87		6492.6899
6044.75		0.86		6486.47
6044.75		0.85		6480.26
6044.75		0.84		6474.04
6044.75		0.83		6467.83
6044.75		0.82		6461.61
6044.75		0.81		6455.39
6044.75		0.8		6449.17
6044.75		0.79		6442.95
6044.75		0.78		6436.72
6044.75		0.77		6430.49
6044.75		0.76		6424.25
6044.75		0.75		6418.01
6044.75		0.74		6411.77
6044.75		0.73		6405.53
6044.75		0.72		6399.29
6044.75		0.71		6393.05
6044.75		0.7		6386.8
6044.75		0.69		6380.55
6044.75		0.68		6374.29
6044.75		0.67		6368.03
6044.75		0.66		6361.77
6044.75		0.65		6355.51
6044.75		0.64		6349.25
6044.75		0.63		6342.99
6044.75		0.62		6336.72
6044.75		0.61		6330.4399
6044.75		0.6		6324.17
6044.75		0.59		6317.89
6044.75		0.58		6311.62
6044.75		0.57		6305.33
6044.75		0.56		6299.04
6044.75		0.55		6292.75
6044.75		0.54		6286.46
6044.75		0.53		6280.17
6044.75		0.52		6273.88
6044.75		0.51		6267.6
6044.75		0.5		6261.31
6044.75		0.49		6255.02
6044.75		0.48		6248.7299
6044.75		0.47		6242.45
6044.75		0.46		6236.16
6044.75		0.45		6229.88
6044.75		0.44		6223.59
6044.75		0.43		6217.31
6044.75		0.42		6211.03
6044.75		0.41		6204.75
6044.75		0.4		6198.46
6044.75		0.39		6192.18
6044.75		0.38		6185.9
6044.75		0.37		6179.62
6044.75		0.36		6173.34
6044.75		0.35		6167.06
6044.75		0.34		6160.78
6044.75		0.33		6154.5
6044.75		0.32		6148.22
6044.75		0.31		6141.95
6044.75		0.3		6135.67
6044.75		0.29		6129.39
6044.75		0.28		6123.12
6044.75		0.27		6116.84
6044.75		0.26		6110.57
6044.75		0.25		6104.29
6044.75		0.24		6098.02
6044.75		0.23		6091.74
6044.75		0.22		6085.47
6044.75		0.21		6079.2
6044.75		0.2		6072.93
6044.75		0.19		6066.66
6044.75		0.18		6060.38
6044.75		0.17		6054.11
6044.75		0.16		6047.84
6044.75		0.15		6041.57
6044.75		0.14		6035.31
6044.75		0.13		6029.04
6044.75		0.12		6022.77
6044.75		0.11		6016.5
6044.75		0.1		6010.24
6044.75		0.09		6003.97
6044.75		0.08		5997.7
6044.75		0.07		5991.4399
6044.75		0.06		5985.17
6044.75		0.05		5978.91
6044.75		0.04		5972.65
6044.75		0.03		5966.38
6044.75		0.02		5960.12
6044.75		0.01		5953.86
6044.75		0.0		5947.6
6573.21		1.0		7078.26
6573.21		0.99		7072.27
6573.21		0.98		7066.27
6573.21		0.97		7060.28
6573.21		0.96		7054.28
6573.21		0.95		7048.28
6573.21		0.94		7042.28
6573.21		0.93		7036.27
6573.21		0.92		7030.27
6573.21		0.91		7024.26
6573.21		0.9		7018.25
6573.21		0.89		7012.23
6573.21		0.88		7006.22
6573.21		0.87		7000.2
6573.21		0.86		6994.19
6573.21		0.85		6988.17
6573.21		0.84		6982.14
6573.21		0.83		6976.12
6573.21		0.82		6970.09
6573.21		0.81		6964.06
6573.21		0.8		6958.03
6573.21		0.79		6952.0
6573.21		0.78		6945.96
6573.21		0.77		6939.93
6573.21		0.76		6933.89
6573.21		0.75		6927.85
6573.21		0.74		6921.81
6573.21		0.73		6915.76
6573.21		0.72		6909.71
6573.21		0.71		6903.67
6573.21		0.7		6897.61
6573.21		0.69		6891.56
6573.21		0.68		6885.51
6573.21		0.67		6879.45
6573.21		0.66		6873.39
6573.21		0.65		6867.33
6573.21		0.64		6861.27
6573.21		0.63		6855.2
6573.21		0.62		6849.13
6573.21		0.61		6843.06
6573.21		0.6		6836.99
6573.21		0.59		6830.92
6573.21		0.58		6824.84
6573.21		0.57		6818.77
6573.21		0.56		6812.68
6573.21		0.55		6806.6
6573.21		0.54		6800.52
6573.21		0.53		6794.43
6573.21		0.52		6788.35
6573.21		0.51		6782.26
6573.21		0.5		6776.16
6573.21		0.49		6770.07
6573.21		0.48		6763.97
6573.21		0.47		6757.88
6573.21		0.46		6751.77
6573.21		0.45		6745.67
6573.21		0.44		6739.57
6573.21		0.43		6733.46
6573.21		0.42		6727.35
6573.21		0.41		6721.24
6573.21		0.4		6715.13
6573.21		0.39		6709.02
6573.21		0.38		6702.9
6573.21		0.37		6696.78
6573.21		0.36		6690.66
6573.21		0.35		6684.54
6573.21		0.34		6678.41
6573.21		0.33		6672.29
6573.21		0.32		6666.16
6573.21		0.31		6660.03
6573.21		0.3		6653.89
6573.21		0.29		6647.76
6573.21		0.28		6641.62
6573.21		0.27		6635.4799
6573.21		0.26		6629.34
6573.21		0.25		6623.2
6573.21		0.24		6617.05
6573.21		0.23		6610.9
6573.21		0.22		6604.75
6573.21		0.21		6598.6
6573.21		0.2		6592.45
6573.21		0.19		6586.29
